playerID,nameFirst,nameLast,debut,finalGame,career_length_years
hudsoda01,Daniel,Hudson,2009-09-04,2024-09-27,15
crawfbr01,Brandon,Crawford,2011-05-27,2024-08-10,13
carpema01,Matt,Carpenter,2011-06-04,2024-09-29,13
diekmja01,Jake,Diekman,2012-05-15,2024-07-28,12
paxtoja01,James,Paxton,2013-09-07,2024-08-11,11
adriaeh01,Ehire,Adrianza,2013-09-08,2024-05-08,11
kiermke01,Kevin,Kiermaier,2013-09-30,2024-09-28,11
jacksja01,Jay,Jackson,2015-09-14,2024-06-20,9
kempto01,Tony,Kemp,2016-05-17,2024-04-09,8
merriwh01,Whit,Merrifield,2016-05-18,2024-09-30,8
vogelda01,Dan,Vogelbach,2016-09-12,2024-06-12,8
knappan01,Andrew,Knapp,2017-04-06,2024-08-28,7
kirilal01,Alex,Kirilloff,2021-04-14,2024-06-11,3
