yearID,teamID,League,Wins,Losses,WinPct,AvgSalary_Mil
2010,LAA,AL,80,82,0.4938271641731262,104.963866
2014,CHA,AL,73,89,0.4506172835826874,81.8305
2015,CLE,AL,81,80,0.5031055808067322,87.663766
2007,SFN,NL,71,91,0.4382716119289398,90.219056
2011,MIL,NL,96,66,0.5925925970077515,85.497333
2014,SDN,NL,77,85,0.4753086566925049,75.6857
2012,TOR,AL,73,89,0.4506172835826874,75.0092
2012,PIT,NL,79,83,0.48765432834625244,62.951999
2010,OAK,AL,81,81,0.5,55.2549
2014,COL,NL,66,96,0.40740740299224854,95.4035
2015,TEX,AL,88,74,0.5432098507881165,143.742789
2008,COL,NL,74,88,0.45679011940956116,68.6555
2008,WAS,NL,59,102,0.3664596378803253,54.961
2006,BOS,AL,86,76,0.5308641791343689,120.099824
2007,SDN,NL,89,74,0.546012282371521,58.110567
2016,TOR,AL,89,73,0.5493826866149902,138.7017
2016,WAS,NL,95,67,0.5864197611808777,141.652646
2005,CHN,NL,79,83,0.48765432834625244,87.032933
2007,MIN,AL,79,83,0.48765432834625244,71.4395
2012,PHI,NL,81,81,0.5,174.538938
2006,PIT,NL,67,95,0.4135802388191223,46.71775
2012,MIA,NL,69,93,0.42592594027519226,118.078
2005,ATL,NL,90,72,0.5555555820465088,86.457302
2008,CHN,NL,97,64,0.6024844646453857,118.345833
2007,DET,AL,88,74,0.5432098507881165,94.800369
2012,CLE,AL,68,94,0.4197530746459961,78.4303
2015,KCA,AL,95,67,0.5864197611808777,112.107025
2014,OAK,AL,88,74,0.5432098507881165,72.4084
2006,SFN,NL,76,85,0.47204968333244324,90.056419
2014,SLN,NL,90,72,0.5555555820465088,120.693
2008,BAL,AL,68,93,0.42236024141311646,67.196246
2013,DET,AL,93,69,0.5740740895271301,145.9895
2014,NYA,AL,84,78,0.5185185074806213,197.543907
2012,SDN,NL,76,86,0.4691357910633087,55.2447
2009,FLO,NL,87,75,0.5370370149612427,36.834
2009,DET,AL,86,77,0.5276073813438416,115.085145
2006,COL,NL,76,86,0.4691357910633087,41.233
2005,SDN,NL,82,80,0.5061728358268738,63.290833
2008,HOU,NL,86,75,0.5341615080833435,88.930414
2009,KCA,AL,65,97,0.40123456716537476,70.519333
2009,MIN,AL,87,76,0.5337423086166382,65.299266
2010,TBA,AL,96,66,0.5925925970077515,71.923471
2006,HOU,NL,82,80,0.5061728358268738,88.694435
2010,FLO,NL,80,82,0.4938271641731262,57.029719
2010,PHI,NL,97,65,0.5987654328346252,141.928379
2011,LAN,NL,82,79,0.5093167424201965,104.188999
2008,SDN,NL,63,99,0.3888888955116272,73.677616
2006,SDN,NL,88,74,0.5432098507881165,69.896141
2013,ARI,NL,81,81,0.5,90.132
2014,MIL,NL,82,80,0.5061728358268738,101.217
2005,OAK,AL,88,74,0.5432098507881165,55.425762
2006,DET,AL,95,67,0.5864197611808777,82.612866
2009,MIL,NL,80,82,0.4938271641731262,80.182502
2008,BOS,AL,95,67,0.5864197611808777,133.390035
2012,HOU,NL,55,107,0.3395061790943146,60.651
2014,SFN,NL,88,74,0.5432098507881165,163.510167
2007,TOR,AL,83,79,0.5123456716537476,81.9428
2015,SLN,NL,100,62,0.6172839403152466,119.2415
2005,SFN,NL,75,87,0.46296295523643494,90.1995
2015,HOU,AL,86,76,0.5308641791343689,72.2562
2015,LAA,AL,85,77,0.5246913433074951,120.005415
2008,FLO,NL,84,77,0.52173912525177,21.8115
2011,NYA,AL,97,65,0.5987654328346252,202.275028
2008,TBA,AL,97,65,0.5987654328346252,43.820597
2012,TBA,AL,90,72,0.5555555820465088,64.1735
2010,NYN,NL,79,83,0.48765432834625244,134.422942
2007,SEA,AL,88,74,0.5432098507881165,106.460833
2010,CHA,AL,88,74,0.5432098507881165,105.53
2011,CHA,AL,79,83,0.48765432834625244,127.789
